epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,583.754,0.97796,0.96393,0.87816,0.63879,0.60993,0.64321,0.47117,0.89183,0.79597,0.855,8.4675e-05,8.4675e-05,8.4675e-05
60,592.837,0.96329,0.94983,0.87762,0.65266,0.60786,0.64925,0.47272,0.89825,0.79163,0.85612,8.09625e-05,8.09625e-05,8.09625e-05
61,601.835,0.98366,0.9634,0.87707,0.63145,0.6046,0.63653,0.46579,0.89036,0.79575,0.8542,7.725e-05,7.725e-05,7.725e-05
62,610.773,0.96917,0.95017,0.87654,0.64545,0.61251,0.6523,0.48086,0.88295,0.78502,0.85337,7.35375e-05,7.35375e-05,7.35375e-05
63,619.893,0.97243,0.94835,0.87582,0.65854,0.62367,0.65908,0.4821,0.88427,0.77751,0.85376,6.9825e-05,6.9825e-05,6.9825e-05
64,629.131,0.96351,0.93748,0.87604,0.65989,0.61862,0.6583,0.48127,0.88654,0.78001,0.85443,6.61125e-05,6.61125e-05,6.61125e-05
65,638.289,0.96161,0.93373,0.87604,0.66744,0.61327,0.65975,0.47919,0.88833,0.77635,0.85456,6.24e-05,6.24e-05,6.24e-05
66,647.417,0.9628,0.93002,0.87499,0.67067,0.62621,0.66809,0.4864,0.88751,0.77164,0.85352,5.86875e-05,5.86875e-05,5.86875e-05
67,656.591,0.97674,0.94463,0.87406,0.66071,0.63029,0.66391,0.48746,0.87462,0.76876,0.85169,5.4975e-05,5.4975e-05,5.4975e-05
68,665.813,0.97226,0.94369,0.87448,0.66741,0.63413,0.67302,0.49529,0.87295,0.75976,0.85114,5.12625e-05,5.12625e-05,5.12625e-05
69,674.912,0.95323,0.91601,0.87502,0.66463,0.62338,0.66608,0.48571,0.88545,0.7725,0.85411,4.755e-05,4.755e-05,4.755e-05
70,684.175,0.95752,0.92021,0.8739,0.68518,0.62568,0.67424,0.49495,0.87495,0.75934,0.85143,4.38375e-05,4.38375e-05,4.38375e-05
71,705.756,0.92146,0.87393,0.86882,0.66942,0.62441,0.67065,0.49114,0.87757,0.76611,0.85213,4.0125e-05,4.0125e-05,4.0125e-05
72,714.063,0.94146,0.89374,0.87138,0.68853,0.61191,0.67323,0.49486,0.8765,0.76498,0.85116,3.64125e-05,3.64125e-05,3.64125e-05
73,722.389,0.92379,0.8756,0.87013,0.68609,0.62265,0.67605,0.49476,0.87684,0.75729,0.85118,3.27e-05,3.27e-05,3.27e-05
74,730.546,0.91792,0.86554,0.87028,0.67631,0.63452,0.67815,0.49746,0.87646,0.75693,0.85124,2.89875e-05,2.89875e-05,2.89875e-05
75,738.83,0.91788,0.86167,0.86941,0.67632,0.63895,0.68169,0.50034,0.87273,0.75319,0.85088,2.5275e-05,2.5275e-05,2.5275e-05
76,747.183,0.9207,0.8642,0.86876,0.67635,0.64205,0.68047,0.49989,0.87227,0.75179,0.85063,2.15625e-05,2.15625e-05,2.15625e-05
77,755.563,0.90411,0.84788,0.8685,0.67688,0.64263,0.68492,0.50329,0.87184,0.7495,0.85081,1.785e-05,1.785e-05,1.785e-05
78,763.88,0.92266,0.86021,0.8704,0.67971,0.64483,0.68678,0.50479,0.8697,0.74665,0.85019,1.41375e-05,1.41375e-05,1.41375e-05
79,772.285,0.92389,0.86607,0.86901,0.68546,0.64134,0.68587,0.50354,0.87125,0.74767,0.85072,1.0425e-05,1.0425e-05,1.0425e-05
80,780.594,0.92071,0.86067,0.86768,0.68639,0.64262,0.68818,0.50558,0.86807,0.74403,0.84992,6.7125e-06,6.7125e-06,6.7125e-06
